CFF_reference,Class,Spname_common,Species_phylo,habitat,forage_light_level,mode_of_life,mode_of_life_ref,body_mass,body_mass_ref,Method,CFF
"Horodysky, Andrij Z.; Brill, Richard W.; Crawford, Kendyl C.; Seagroves, Elizabeth S.; Johnson, Andrea K. 2013 Comparative visual ecophysiology of mid-Atlantic temperate reef fishes Comparative visual ecophysiology of mid-Atlantic temperate reef fishes Horodysky, Andrij Z.; Brill, Richard W.; Crawford, Kendyl C.; Seagroves, Elizabeth S.; Johnson, Andrea K.",Actinopterygii,Tautog,Tautoga_onitis,demersal,high,sessile_food,Based_off_gastropd_diet_fishbase,2424.91,fishbase 48.2cm median length,Electrophysiology,48
"Bullock, T.H., Hofmann, M.H., New, J.G. and Nahm, F.K., 1990. Dynamic properties of visual evoked potentials in the tectum of cartilaginous and bony fishes, with neuroethological implications. Journal of Experimental Zoology, 256(S5), pp.142-155.",Actinopterygii,Yellowfin tuna,Thunnus_albacares,nektonic,high,pursuit,"Schaefer, K.M., Fuller, D.W. and Block, B.A., 2007. Movements, behavior, and habitat utilization of yellowfin tuna (Thunnus albacares) in the northeastern Pacific Ocean, ascertained through archival tag data. Marine Biology, 152, pp.503-525.",35714.42,fishbase 150cm median length,Electrophysiology,80
"Fritsches, KA; Brill, RW; Warrant, EJ 2005 Warm eyes provide superior vision in swordfishes Warm eyes provide superior vision in swordfishes Fritsches, KA; Brill, RW; Warrant, EJ",Actinopterygii,Yellowfin tuna,Thunnus_albacares,nektonic,high,pursuit,"Schaefer, K.M., Fuller, D.W. and Block, B.A., 2007. Movements, behavior, and habitat utilization of yellowfin tuna (Thunnus albacares) in the northeastern Pacific Ocean, ascertained through archival tag data. Marine Biology, 152, pp.503-525.",35714.42,fishbase 150cm median length,Electrophysiology,50
"Fritsches, KA; Brill, RW; Warrant, EJ 2005 Warm eyes provide superior vision in swordfishes Warm eyes provide superior vision in swordfishes Fritsches, KA; Brill, RW; Warrant, EJ",Actinopterygii,Bigeye tuna,Thunnus_obesus,nektonic,low,pursuit,"Schaefer, K.M., Fuller, D.W. and Block, B.A., 2007. Movements, behavior, and habitat utilization of yellowfin tuna (Thunnus albacares) in the northeastern Pacific Ocean, ascertained through archival tag data. Marine Biology, 152, pp.503-525.",210000,"Schaefer, K.M., Fuller, D.W. and Block, B.A., 2007. Movements, behavior, and habitat utilization of yellowfin tuna (Thunnus albacares) in the northeastern Pacific Ocean, ascertained through archival tag data. Marine Biology, 152, pp.503-525.",Electrophysiology,38
"Fritsches, KA; Brill, RW; Warrant, EJ 2005 Warm eyes provide superior vision in swordfishes Warm eyes provide superior vision in swordfishes Fritsches, KA; Brill, RW; Warrant, EJ",Actinopterygii,Swordfish,Xiphias_gladius,nektonic,low,pursuit,Description_fishbase,354844,total_common_length_of_300_fishbase_allometry,Electrophysiology,40
"Crozier, W. J., & Wolf, E. (1939). The flicker response contours for genetically related fishes. II. The Journal of General Physiology, 22(4), 463–485.",Actinopterygii,Green swordtail,Xiphophorus_hellerii,nektonic,high,sessile_food,"Mackey, Brandon, Keaton Vanderploeg, and Lara A. Ferry. 2014. “ Variation in Prey Capture Mechanics in the Swordtail, Xiphophorus Helleri in Response to Food Type .” Journal of the Arizona-Nevada Academy of Science 45(2): 59–63.",1.84,"Royle, N. J., Lindström, J., & Metcalfe, N. B. (2005). A poor start in life negatively affects dominance status in adulthood independent of body size in green swordtails Xiphophorus helleri. Proceedings of the Royal Society B: Biological Sciences, 272(1575), 1917–1922. https://doi.org/10.1098/rspb.2005.3190",Behavioural,43
"Crevier DW, Meister M. Synchronous period-doubling in flicker vision of salamander and man. J Neurophysiol. 1998 Apr;79(4):1869-78.",Amphibia,Tiger salamander,Ambystoma_tigrinum,terrestrial,low,ballistic,Handbook_of_lizards_of_the_world,23,"Alvarado, R. H. (1965). The effects of dehydration on water and electrolytes in ambystoma tigrinum1. 43–53.",Electrophysiology,30
"Nowak, L. M.; Green, D. G. 1983 Flicker fusion characteristics of rod receptors in the toad Flicker fusion characteristics of rod receptors in the toad Nowak, L. M.; Green, D. G.",Amphibia,Bufo Toad,Bufo_marinus,terrestrial,low,ballistic,"Lever, C., 2001. The cane toad: the history and ecology of a successful colonist. Westbury Academic & Scientific Pub..",2000,"Lever, C., 2001. The cane toad: the history and ecology of a successful colonist. Westbury Academic & Scientific Pub..",Electrophysiology,19
"Inger, R., Bennie, J., Davies, T. W., & Gaston, K. J. (2014). Potential Biological and Ecological Effects of Flickering Artificial Light. PLoS ONE, 9(5), 98631. https://doi.org/10.1371/journal.pone.0098631.t001",Amphibia,Green frog,Rana_clamitans,terrestrial,low,ballistic,"Shepard, Donald B. 2004. “Seasonal Differences in Aggression and Site Tenacity in Male Green Frogs, Rana Clamitans.” Copeia 2004(1): 159–64.",50,https://web.archive.org/web/20030918013054/http://www.epa.gov/NCEA/pdfs/c2443-431.pdf,Electrophysiology,21
"Fenk, Lisa M.; Schmid, Axel 2011 Flicker-induced eye movements and the behavioural temporal cut-off frequency in a nocturnal spider Flicker-induced eye movements and the behavioural temporal cut-off frequency in a nocturnal spider Fenk, Lisa M.; Schmid, Axel",Arachnida,Tiger wandering spider,Cupiennius_salei,terrestrial,low,ballistic,"Based on description in Malli, H., Kuhn-Nentwig, L., Imboden, H. and Nentwig, W., 1999. Effects of size, motility and paralysation time of prey on the quantity of venom injected by the hunting spider Cupiennius salei. Journal of Experimental Biology, 202(15), pp.2083-2089.",3.75,"mass from The influence of hunger and breeding temperature on the venom production of the spider Cupiennius salei (Araneae, Ctenidae)",Electrophysiology,6.45
"DeVoe, R.D., 1962. Linear superposition of retinal action potentials to predict electrical flicker responses from the eye of the wolf spider, Lycosa baltimoriana (Keyserling). The Journal of General Physiology, 46(1), pp.75-96.",Arachnida,wolf spider,Lycosa_beihaiensis,terrestrial,low,ballistic,"Uiterwaal, S.F., 2022. Foraging, Diet, and Metabolism in a Generalist Predator (Doctoral dissertation, The University of Nebraska-Lincoln).",0.27,"mass from synonym Hogna baltimoriana from Uiterwaal, S.F. and DeLong, J.P., 2019. Body condition helps to explain metabolic rate variation in wolf spiders. ",Electrophysiology,10
Forster LM. Target discrimination in jumping spiders.,Arachnida,dimorphic jumping spider,Maevia_inclemens,terrestrial,high,ballistic,"Lietzenmayer, L. and Taylor, L., 2018. Dimorphic Jumper Maevia inclemens (Walckenaer 1837)(Arachnida: Araneae: Salticidae). Department of Entomology and Nematology, UF/IFAS Extension, EENY-702, pp.1-3.",0.028,"using 6.5mm length and overall allometric equation from Penell, A., Raub, F. and Höfer, H., 2018. Estimating biomass from body size of European spiders based on regression models. The Journal of Arachnology, 46(3), pp.413-419.",Electrophysiology,40
"Petie, Ronald; Hall, Michael R.; Hyldahl, Mia; Garm, Anders 2016 Visual orientation by the crown-of-thorns starfish (Acanthaster planci) Visual orientation by the crown-of-thorns starfish (Acanthaster planci) Petie, Ronald; Hall, Michael R.; Hyldahl, Mia; Garm, Anders",Asteroidea,Crown-of-thorns starfish,Acanthaster_planci,demersal,high,sessile_food,Feeds_on_bivaves_sealife_base,1640,"median_wet_mass_from_Kettle, B.T. and Lucas, J.S., 1987. Biometric relationships between organ indices, fecundity, oxygen consumption and body size in Acanthaster planci (L.)(Echinodermata; Asteroidea). Bulletin of Marine Science, 41(2), pp.541-551.",Electrophysiology,0.65
"Bornschein, H. and Tansley, K., 1961. Elektroretinogramm und Netzhautstruktur der Sumpfohreule (Asio flammeus). Experientia, 17(4), pp.185-187.",Aves,The short-eared owl,Asio_flammeus,volant,low,ballistic,Handbook_birds_of_the_world,343.75,amniote,Electrophysiology,67.5
"Porciatti, V; Fontanesi, G; Bagnoli, P 1989 The electroretinogram of the little owl (Athene noctua) The electroretinogram of the little owl (Athene noctua) Porciatti, V; Fontanesi, G; Bagnoli, P",Aves,Little owl,Athene_noctua,volant,low,ballistic,Handbook_of_birds_of_the_world,169,amniote,Electrophysiology,50
AULT S J; HOUSE E W 1987 ELECTRORETINOGRAPHIC RESPONSES OF THE GREAT HORNED OWL BUBO-VIRGINIANUS ELECTRORETINOGRAPHIC RESPONSES OF THE GREAT HORNED OWL BUBO-VIRGINIANUS AULT S J; HOUSE E W,Aves,Great horned owl,Bubo_virginianus,volant,low,ballistic,Handbook_birds_of_the_world,1377,amniote,Electrophysiology,40
"Goller, Benjamin; Fellows, Tyee K.; Dakin, Roslyn; Tyrrell, Luke; Fernandez-Juricic, Esteban; Altshuler, Douglas L. 2019 Spatial and Temporal Resolution of the Visual System of the Anna's Hummingbird (Calypte anna) Relative to Other Birds Spatial and Temporal Resolution of the Visual System of the Anna's Hummingbird (Calypte anna) Relative to Other Birds Goller, Benjamin; Fellows, Tyee K.; Dakin, Roslyn; Tyrrell, Luke; Fernandez-Juricic, Esteban; Altshuler, Douglas L.",Aves,Anna's hummingbird,Calypte_anna,volant,high,sessile_food,Handbook_birds_of_the_world,4.4,amniote,Behavioural,75
"Dodt, E.; Wirth, A.  1953 Differentiation between rods and cones by flicker electroretinography in pigeon and guinea pig Differentiation between rods and cones by flicker electroretinography in pigeon and guinea pig Dodt, E.; Wirth, A. ",Aves,Common pigeon,Columba_livia,volant,high,sessile_food,Handbook_of_birds_of_the_world,320,amniote,Electrophysiology,143
"Hendricks, J. 1966 Flicker thresholds as determined by a modified conditioned suppression procedure Flicker thresholds as determined by a modified conditioned suppression procedure Hendricks, J.",Aves,Common pigeon,Columba_livia,volant,high,sessile_food,Handbook_of_birds_of_the_world,320,amniote,Behavioural,77
"Delius, Juan D.; Delius, Julia A. M.; Lee, Jennifer M. 2017 Symmetry recognition by pigeons: Generalized or not? Symmetry recognition by pigeons: Generalized or not? Delius, Juan D.; Delius, Julia A. M.; Lee, Jennifer M.",Aves,Common pigeon,Columba_livia,volant,high,sessile_food,Handbook_birds_of_the_world,320,amniote,Behavioural,70
"Potier, Simon; Lieuvin, Margaux; Pfaff, Michael; Kelber, Almut 2020 How fast can raptors see? How fast can raptors see? Potier, Simon; Lieuvin, Margaux; Pfaff, Michael; Kelber, Almut",Aves,Saker falcon,Falco_cherrug,volant,high,pursuit,Handbook_of_birds_of_the_world,995,amniote,Behavioural,102
"Potier, Simon; Lieuvin, Margaux; Pfaff, Michael; Kelber, Almut 2020 How fast can raptors see? How fast can raptors see? Potier, Simon; Lieuvin, Margaux; Pfaff, Michael; Kelber, Almut",Aves,Peregrine Falcon,Falco_peregrinus,volant,high,pursuit,Handbook_birds_of_the_world,827.25,amniote,Behavioural,124.5
"Bostrom, Jannika E.; Dimitrova, Marina; Canton, Cindy; Hastad, Olle; Qvarnstrom, Anna; Odeen, Anders 2016 Ultra-Rapid Vision in Birds Ultra-Rapid Vision in Birds Bostrom, Jannika E.; Dimitrova, Marina; Canton, Cindy; Hastad, Olle; Qvarnstrom, Anna; Odeen, Anders",Aves,Collared flycatcher,Ficedula_albicollis,volant,high,pursuit,Handbook_birds_of_the_world,10.85,amniote,Behavioural,138.2
"Bostrom, Jannika E.; Dimitrova, Marina; Canton, Cindy; Hastad, Olle; Qvarnstrom, Anna; Odeen, Anders 2016 Ultra-Rapid Vision in Birds Ultra-Rapid Vision in Birds Bostrom, Jannika E.; Dimitrova, Marina; Canton, Cindy; Hastad, Olle; Qvarnstrom, Anna; Odeen, Anders",Aves,European pied flycatcher,Ficedula_hypoleuca,volant,high,pursuit,Handbook_birds_of_the_world,12.775,amniote,Behavioural,128.1
"NUBOER, JFW; COEMANS, MAJM; VOS, JJ 1992 ARTIFICIAL LIGHTING IN POULTRY HOUSES - DO HENS PERCEIVE THE MODULATION OF FLUORESCENT LAMPS AS FLICKER ARTIFICIAL LIGHTING IN POULTRY HOUSES - DO HENS PERCEIVE THE MODULATION OF FLUORESCENT LAMPS AS FLICKER NUBOER, JFW; COEMANS, MAJM; VOS, JJ",Aves,Chicken,Gallus_gallus,terrestrial,high,sessile_food,Handbook_birds_of_the_world,912.5,amniote,Behavioural,105
"Lisney, Thomas J.; Ekesten, Bjorn; Tauson, Ragnar; Hastad, Olle; Odeen, Anders 2012 Using electroretinograms to assess flicker fusion frequency in domestic hens Gallus gallus domesticus Using electroretinograms to assess flicker fusion frequency in domestic hens Gallus gallus domesticus Lisney, Thomas J.; Ekesten, Bjorn; Tauson, Ragnar; Hastad, Olle; Odeen, Anders",Aves,Chicken,Gallus_gallus,terrestrial,high,sessile_food,Handbook_birds_of_the_world,912.5,amniote,Behavioural,104
"Lisney, Thomas J.; Rubene, Diana; Rozsa, Jani; Lovlie, Hanne; Hastad, Olle; Odeen, Anders 2011 Behavioural assessment of flicker fusion frequency in chicken Gallus gallus domesticus Behavioural assessment of flicker fusion frequency in chicken Gallus gallus domesticus Lisney, Thomas J.; Rubene, Diana; Rozsa, Jani; Lovlie, Hanne; Hastad, Olle; Odeen, Anders",Aves,Chicken,Gallus_gallus,terrestrial,high,sessile_food,Handbook_birds_of_the_world,912.5,amniote,Electrophysiology,87
"Rubene, Diana; Hastad, Olle; Tauson, Ragnar; Wall, Helena; Odeen, Anders 2010 The presence of UV wavelengths improves the temporal resolution of the avian visual system The presence of UV wavelengths improves the temporal resolution of the avian visual system Rubene, Diana; Hastad, Olle; Tauson, Ragnar; Wall, Helena; Odeen, Anders",Aves,Chicken,Gallus_gallus,terrestrial,high,sessile_food,Handbook_of_birds_of_the_world,912.5,amniote,Behavioural,83
"Railton, Renee Caron Richards; Foster, T. Mary; Temple, William 2009 A comparison of two methods for assessing critical flicker fusion frequency in hens A comparison of two methods for assessing critical flicker fusion frequency in hens Railton, Renee Caron Richards; Foster, T. Mary; Temple, William",Aves,Chicken,Gallus_gallus,terrestrial,high,sessile_food,Handbook_of_birds_of_the_world,912.5,amniote,Behavioural,82.6
"Jarvis, JR; Taylor, NR; Prescott, NB; Meeks, I; Wathes, CM 2002 Measuring and modelling the photopic flicker sensitivity of the chicken (Gallus g. domesticus) Measuring and modelling the photopic flicker sensitivity of the chicken (Gallus g. domesticus) Jarvis, JR; Taylor, NR; Prescott, NB; Meeks, I; Wathes, CM",Aves,Chicken,Gallus_gallus,terrestrial,high,sessile_food,Handbook_birds_of_the_world,912.5,amniote,Behavioural,71.5
"Bostrom, Jannika E.; Haller, Nicola K.; Dimitrova, Marina; Odeen, Anders; Kelber, Almut 2017 The flicker fusion frequency of budgerigars (Melopsittacus undulatus) revisited The flicker fusion frequency of budgerigars (Melopsittacus undulatus) revisited Bostrom, Jannika E.; Haller, Nicola K.; Dimitrova, Marina; Odeen, Anders; Kelber, Almut",Aves,Budgerigar,Melopsittacus_undulatus,volant,high,sessile_food,Handbook_birds_of_the_world,29.05,amniote,Behavioural,85
"Ginsburg, N.; Nilsson, V. 1971 MEASURING FLICKER THRESHOLDS IN THE BUDGERIGAR MEASURING FLICKER THRESHOLDS IN THE BUDGERIGAR Ginsburg, N.; Nilsson, V.",Aves,Buderigar,Melopsittacus_undulatus,volant,high,sessile_food,Handbook_birds_of_the_world,29.05,amniote,Behavioural,69.35
"Ronald, K. L.; Fernandez-Juricic, E.; Lucas, J. R.  2018 Mate choice in the eye and ear of the beholder? Female multimodal sensory configuration influences her preferences Mate choice in the eye and ear of the beholder? Female multimodal sensory configuration influences her preferences Ronald, K. L.; Fernandez-Juricic, E.; Lucas, J. R. ",Aves,Brown-headed cowbird,Molothrus_ater,volant,high,sessile_food,Handbook_of_birds_of_the_world,42.55,amniote,Electrophysiology,114.7
"Potier, Simon; Lieuvin, Margaux; Pfaff, Michael; Kelber, Almut 2020 How fast can raptors see? How fast can raptors see? Potier, Simon; Lieuvin, Margaux; Pfaff, Michael; Kelber, Almut",Aves,Harris's hawk,Parabuteo_unicinctus,volant,high,pursuit,Handbook_of_birds_of_the_world,939.63,amniote,Behavioural,77.7
"Bostrom, Jannika E.; Dimitrova, Marina; Canton, Cindy; Hastad, Olle; Qvarnstrom, Anna; Odeen, Anders 2016 Ultra-Rapid Vision in Birds Ultra-Rapid Vision in Birds Bostrom, Jannika E.; Dimitrova, Marina; Canton, Cindy; Hastad, Olle; Qvarnstrom, Anna; Odeen, Anders",Aves,Eurasian blue tit,Parus_caeruleus,volant,high,sessile_food,Handbook_birds_of_the_world,11.2,amniote,Behavioural,130.3
"Crozier, W. J.; Wolf, E. 1944 Flicker response contours for the sparrow, and the theory of the avian pecten Flicker response contours for the sparrow, and the theory of the avian pecten Crozier, W. J.; Wolf, E.",Aves,House sparrow,Passer_domesticus,volant,high,sessile_food,Handbook_of_birds_of_the_world,27.7,amniote,Behavioural,55
"Maddocks, S.A., Goldsmith, A.R. and Cuthill, I.C., 2001. The influence of flicker rate on plasma corticosterone levels of European starlings, Sturnus vulgaris. General and comparative endocrinology, 124(3), pp.315-320.",Aves,The common starling,Sturnus_vulgaris,volant,high,sessile_food,Handbook_birds_of_the_world,77.675,amniote,Electrophysiology,100
"Crozier, W. J.; Wolf, E. 1941 The simplex flicker threshold contour for the zebra finch The simplex flicker threshold contour for the zebra finch Crozier, W. J.; Wolf, E.",Aves,Zebra Finch,Taeniopygia_guttata,volant,high,sessile_food,Handbook_of_birds_of_the_world,11.93333333,amniote,Behavioural,55
"Dreyfert, T; Holmberg, Kaj; Struwe, G 1979 Critical flicker fusion frequency of the river lamprey (Lampetra fluviatilis). Critical flicker fusion frequency of the river lamprey (Lampetra fluviatilis). Dreyfert, T; Holmberg, Kaj; Struwe, G",Cephalaspidomorphi,River Lamprey,Lampetra_fluviatilis,demersal,low,sessile_food,fishebase,54,fishbase_conversion_from 32cm,Electrophysiology,24
"Warrington, Rachael E.; Hart, Nathan S.; Potter, Ian C.; Collin, Shaun P.; Hemmi, Jan M. 2017 Retinal temporal resolution and contrast sensitivity in the parasitic lamprey Mordacia mordax and its non-parasitic derivative Mordacia praecox Retinal temporal resolution and contrast sensitivity in the parasitic lamprey Mordacia mordax and its non-parasitic derivative Mordacia praecox Warrington, Rachael E.; Hart, Nathan S.; Potter, Ian C.; Collin, Shaun P.; Hemmi, Jan M.",Cephalaspidomorphi,Short-headed lamprey,Mordacia_mordax,demersal,low,sessile_food,Fishbase,264.5,"based_on_median_mass_for Modacia_notes_that adulats_are_indistigusable_between_species_from_Miller, A.K., Baker, C., Kitson, J.C. et al. The Southern Hemisphere lampreys (Geotriidae and Mordaciidae). Rev Fish Biol Fisheries 31, 201–232 (2021). https://doi.org/10.1007/s11160-021-09639-x",Electrophysiology,31.1
"Warrington, Rachael E.; Hart, Nathan S.; Potter, Ian C.; Collin, Shaun P.; Hemmi, Jan M. 2017 Retinal temporal resolution and contrast sensitivity in the parasitic lamprey Mordacia mordax and its non-parasitic derivative Mordacia praecox Retinal temporal resolution and contrast sensitivity in the parasitic lamprey Mordacia mordax and its non-parasitic derivative Mordacia praecox Warrington, Rachael E.; Hart, Nathan S.; Potter, Ian C.; Collin, Shaun P.; Hemmi, Jan M.",Cephalaspidomorphi,Australian brook lamprey,Mordacia_praecox,demersal,low,sessile_food,Fishbase,264.5,"based_on_median_mass_for Modacia_notes_that adulats_are_indistigusable_between_species_from_Miller, A.K., Baker, C., Kitson, J.C. et al. The Southern Hemisphere lampreys (Geotriidae and Mordaciidae). Rev Fish Biol Fisheries 31, 201–232 (2021). https://doi.org/10.1007/s11160-021-09639-x",Electrophysiology,36.9
"BULLOCK, TH; BUDELMANN, BU 1991 SENSORY EVOKED-POTENTIALS IN UNANESTHETIZED UNRESTRAINED CUTTLEFISH - A NEW PREPARATION FOR BRAIN PHYSIOLOGY IN CEPHALOPODS SENSORY EVOKED-POTENTIALS IN UNANESTHETIZED UNRESTRAINED CUTTLEFISH - A NEW PREPARATION FOR BRAIN PHYSIOLOGY IN CEPHALOPODS BULLOCK, TH; BUDELMANN, BU",Cephalopoda,Common cuttlefish,Sepia_officinalis,demersal,high,ballistic,Sealifebase,1014.782,Based_on_sealifebase_at20cm_and_b_2.78_and_a_0.2427,Electrophysiology,30
"Horch, K. and Salmon, M., 2009. Frequency response characteristics of isolated retinas from hatchling leatherback (Dermochelys coriacea L.) and loggerhead (Caretta caretta L.) sea turtles. Journal of neuroscience methods, 178(2), pp.276-283.",Cheloniidae,Loggerhead,Caretta_caretta_HBS112700,nektonic,high,sessile_food,Handbook_of_turtles_of_the_world,79000,"median size from Pina, A., Martins, S., Abu-Raya, M. and Marco, A., 2020. Body condition of loggerhead turtles Caretta caretta nesting in Cabo Verde is independent of their reproductive output. Zool. Caboverdiana, 8, pp.23-31.",Electrophysiology,40
"Fritsches, K.A. and Warrant, E.J., 2006. Differences in the visual capabilities of sea turtles and blue water fishesÑimplications for bycatch reduction. Sea turtle and pelagic fish sensory biology: developing techniques to reduce sea turtle bycatch in longline fisheries. National Oceanic and Atmospheric Administration, Honolulu, HI. NOAA Tech Memo NMFS-PIFSC-7, pp.1-7.",Cheloniidae,Green sea turtle,Chelonia_mydas_HBS109887,nektonic,high,sessile_food,Handbook_of_turtles_of_the_world,95440,"from_common_length_90cm_Wabnitz, C. and D. Pauly 2008 Length-weight relationships and additional growth parameters for sea turtles. In Palomares, M.L.D., Pauly, D. (Eds.) Van Bertalanffy Growth Parameters of Non-fish Marine Organisms. Fisheries Centre Research Reports 16(10). Fisheries Centre, University of British Columbia [ISSN 1198-6727], pp. 92-101. ",Electrophysiology,40
"Horch, K. and Salmon, M., 2009. Frequency response characteristics of isolated retinas from hatchling leatherback (Dermochelys coriacea L.) and loggerhead (Caretta caretta L.) sea turtles. Journal of neuroscience methods, 178(2), pp.276-283.",Cheloniidae,Leatherback,Dermochelys_coriacea_MVZ149847,nektonic,high,sessile_food,Handbook_of_turtles_of_the_world,361300,sealife_base_from_scaling_of_median_159cm_ from_Ref_74669,Electrophysiology,15
"O'Connor, Megan; Nilsson, Dan-E.; Garm, Anders 2010 Temporal properties of the lens eyes of the box jellyfish Tripedalia cystophora Temporal properties of the lens eyes of the box jellyfish Tripedalia cystophora O'Connor, Megan; Nilsson, Dan-E.; Garm, Anders",Cnidaria,Box jellyfish,Tripedalia_cystophora,nektonic,high,sessile_food,"Based_off_drift_feeding_Garm, A.; O'Connor, M.; Parkefelt, L.; Nilsson, D.-E. (2007). Visually guided obstacle avoidance in the box jellyfish Tripedalia cystophora and Chiropsella bronzie. Journal of Experimental Biology. 210 (20): 3616Ð3623.",0.245,"based_on_allometric_scaling_for_6.5mm_Bell_diameter_using_data_from_Pitt KA, Duarte CM, Lucas CH, Sutherland KR, Condon RH, Mianzan H, Purcell JE, Robinson KL, Uye S. Jellyfish body plans provide allometric advantages beyond low carbon content. PLoS One. 2013 Aug 13;8(8):e72683. doi: 10.1371/journal.pone.0072683. PMID: 23967331; PMCID: PMC3742524.",Electrophysiology,9.75
"McComb, D. Michelle; Frank, Tamara M.; Hueter, Robert E.; Kajiura, Stephen M. 2010 Temporal Resolution and Spectral Sensitivity of the Visual System of Three Coastal Shark Species from Different Light Environments Temporal Resolution and Spectral Sensitivity of the Visual System of Three Coastal Shark Species from Different Light Environments McComb, D. Michelle; Frank, Tamara M.; Hueter, Robert E.; Kajiura, Stephen M.",Elasmobranchii,Blacknose shark,Carcharhinus_acronotus,nektonic,low,ballistic,feeds_on_finfish_but_also_benthic_food_from_fishbase,18800,"fisebase_114cm_ Crawford, R., 1993. World record game fishes 1993. The International Game Fish Association, Pompano Beach, Florida. ",Electrophysiology,18
"Kalinoski, Mieka; Hirons, Amy; Horodysky, Andrij; Brill, Richard 2014 Spectral sensitivity, luminous sensitivity, and temporal resolution of the visual systems in three sympatric temperate coastal shark species Spectral sensitivity, luminous sensitivity, and temporal resolution of the visual systems in three sympatric temperate coastal shark species Kalinoski, Mieka; Hirons, Amy; Horodysky, Andrij; Brill, Richard",Elasmobranchii,Sandbar shark,Carcharhinus_plumbeus,nektonic,low,ballistic,"Feeds mainly on bony fishes, also small sharks, cephalopods, and shrimps fishbase",4700,from cff paper,Electrophysiology,21
"Ryan, Laura A.; Hemmi, Jan M.; Collin, Shaun P.; Hart, Nathan S. 2017 Electrophysiological measures of temporal resolution, contrast sensitivity and spatial resolving power in sharks Electrophysiological measures of temporal resolution, contrast sensitivity and spatial resolving power in sharks Ryan, Laura A.; Hemmi, Jan M.; Collin, Shaun P.; Hart, Nathan S.",Elasmobranchii,Brownbanded bamboo shark,Chiloscyllium_punctatum,demersal,low,ballistic,diet_finfish_fishbase,5900,mass from commen length of 38 and converted in fishbas,Electrophysiology,44
"Litherland, L., 2009. Neuroethological studies on shark vision assessing the role of visual biology in habitat use and behaviour.",Elasmobranchii,Tiger shark,Galeocerdo_cuvier,nektonic,low,ballistic,finfish_fishbase,783200,"fishbase 500cm common length from  	Branstetter, S., J.A. Musick and J.A. Colvocoresses, 1987. A comparison of age and growth of the tiger shark, Galeocerdo cuvieri, from off Virginia and from the northwestern Gulf of Mexico. Fish. Bull. 85:269-279. ",Electrophysiology,38
"Ryan, Laura A.; Hemmi, Jan M.; Collin, Shaun P.; Hart, Nathan S. 2017 Electrophysiological measures of temporal resolution, contrast sensitivity and spatial resolving power in sharks Electrophysiological measures of temporal resolution, contrast sensitivity and spatial resolving power in sharks Ryan, Laura A.; Hemmi, Jan M.; Collin, Shaun P.; Hart, Nathan S.",Elasmobranchii,Puffadder shyshark,Haploblepharus_edwardsii,demersal,low,ballistic,diet_includes_finfish,1108.5,"fishbase_using_60cm_common_length_scaling_of_b_3.09_and_a_0.00355_based_on_sub_family_body_shape_fishbase_common_size_from_Ferrari, A.; Ferrari, A. (2002). Sharks. FireFly Books. p. 119. ISBN 978-1-55209-629-1.",Electrophysiology,29
"Ryan, Laura A.; Hemmi, Jan M.; Collin, Shaun P.; Hart, Nathan S. 2017 Electrophysiological measures of temporal resolution, contrast sensitivity and spatial resolving power in sharks Electrophysiological measures of temporal resolution, contrast sensitivity and spatial resolving power in sharks Ryan, Laura A.; Hemmi, Jan M.; Collin, Shaun P.; Hart, Nathan S.",Elasmobranchii,Epaulette shark,Hemiscyllium_ocellatum,demersal,low,ballistic,diet_includes_finfish,2696.4,"fishbase_using_70cm_common_length_scaling_of_b_3.09_and_a_0.00355_based_on_sub_family_body_shape_fishbase_common_size_from_Ferrari, A.; Ferrari, A. (2002). Sharks. FireFly Books. p. 119. ISBN 978-1-55209-629-1.",Electrophysiology,40
"Bullock, T.H., Hofmann, M.H., New, J.G. and Nahm, F.K., 1990. Dynamic properties of visual evoked potentials in the tectum of cartilaginous and bony fishes, with neuroethological implications. Journal of Experimental Zoology, 256(S5), pp.142-155.",Elasmobranchii,Horn shark,Heterodontus_francisci,demersal,low,sessile_food,Predominatly_Cancer_irroratus,7200,fisebase_97cm common length,Electrophysiology,20
"Ryan, Laura A.; Hemmi, Jan M.; Collin, Shaun P.; Hart, Nathan S. 2017 Electrophysiological measures of temporal resolution, contrast sensitivity and spatial resolving power in sharks Electrophysiological measures of temporal resolution, contrast sensitivity and spatial resolving power in sharks Ryan, Laura A.; Hemmi, Jan M.; Collin, Shaun P.; Hart, Nathan S.",Elasmobranchii,Port Jackson shark,Heterodontus_portusjacksoni,demersal,low,sessile_food,diet_mainly_echinoderms_mollusc_worms,23918.21,fisebase_137cm common length,Electrophysiology,28
"Green, D. G., & Siegel, I. M. (1975). Double branched flicker fusion curves from the all-rod skate retina. Science, 188(4193), 1120–1122. https://doi.org/10.1126/science.1215989",Elasmobranchii,Little skate,Leucoraja_erinacea,demersal,low,sessile_food,Predominatly_craps_fishbase,211.07,fisebase_33cm common length,Electrophysiology,30
